NORAD Catalog Number		Name
33436	,	ASTRA 1M
33446	,	YAOGAN 4
33453	,	CIEL-2
33459	,	EUTELSAT HOT BIRD 13C
33460	,	EUTELSAT 48D
33463	,	FENGYUN 2E
33490	,	USA 202
33492	,	GOSAT (IBUKI)
33493	,	PRISM (HITOMI)
33498	,	STARS (KUKAI)
33499	,	KKS-1 (KISEKI)
33591	,	NOAA 19
33595	,	EXPRESS-AM44
33749	,	NSS-9
33750	,	EUTELSAT 33E
33751	,	SPIRALE A
33752	,	SPIRALE B
34111	,	TELSTAR 11N
34380	,	KEPLER
34661	,	NAVSTAR 63 (USA 203)
34710	,	EUTELSAT 10A
34713	,	WGS F2 (USA 204)
34807	,	RISAT-2
34810	,	SICRAL 1B
34839	,	YAOGAN 6
34903	,	STSS ATRR (USA 205)
34937	,	HERSCHEL
34941	,	SES-7 (PROTOSTAR 2)
35008	,	MERIDIAN 2
35315	,	LRO
35362	,	MEASAT-3A
35491	,	GOES 14
35493	,	SIRIUS FM-5
35496	,	TERRESTAR-1
35498	,	COSMOS 2451
35500	,	COSMOS 2453
35681	,	DEIMOS-1
35682	,	DUBAISAT-1
35683	,	UK-DMC 2
35684	,	APRIZESAT 4
35685	,	NANOSAT 1B
35686	,	APRIZESAT 3
35696	,	ASIASAT 5
35752	,	NAVSTAR 64 (USA 206)
35755	,	JCSAT-RA (JCSAT-12)
35756	,	OPTUS D3
35812	,	PALAPA D
35815	,	USA 207
35865	,	METEOR-M 1
35870	,	SUMBANDILA (SO-67)
35873	,	NIMIQ 5
35931	,	OCEANSAT-2
35932	,	SWISSCUBE
35933	,	BEESAT
35935	,	ITUPSAT 1
35937	,	STSS DEMO 1 (USA 208)
35938	,	STSS DEMO 2 (USA 209)
35942	,	AMAZONAS 2
35943	,	COMSATBW-1
35946	,	WORLDVIEW-2 (WV-2)
35951	,	DMSP 5D-3 F18 (USA 210)
36032	,	NSS-12
36033	,	THOR 6
36036	,	SMOS
36037	,	PROBA-2
36086	,	POISK
36088	,	SJ-11-01
36095	,	COSMOS 2455
36097	,	INTELSAT 14 (IS-14)
36101	,	EUTELSAT 36B
36104	,	IGS 5A
36106	,	INTELSAT 15 (IS-15)
36108	,	WGS F3 (USA 211)
36110	,	YAOGAN 7
36111	,	COSMOS 2456 [GLONASS-M]
36112	,	COSMOS 2457 [GLONASS-M]
36113	,	COSMOS 2458 [GLONASS-M]
36119	,	WISE
36121	,	YAOGAN 8
36122	,	XIWANG-1 (HOPE-1)
36124	,	HELIOS 2B
36131	,	DIRECTV 12
36287	,	BEIDOU 3
36358	,	RADUGA-1M 2
36395	,	SDO
36397	,	INTELSAT 16 (IS-16)
36400	,	COSMOS 2459 [GLONASS-M]
36401	,	COSMOS 2461 [GLONASS-M]
36402	,	COSMOS 2460 [GLONASS-M]
36411	,	GOES 15
36413	,	YAOGAN 9A
36414	,	YAOGAN 9B
36415	,	YAOGAN 9C
36499	,	ECHOSTAR 14
36508	,	CRYOSAT 2
36516	,	SES-1
36519	,	COSMOS 2463
36576	,	AKATSUKI (PLANET-C)
36577	,	IKAROS
36581	,	ASTRA 3B
36582	,	COMSATBW-2
36585	,	NAVSTAR 65 (USA 213)
36590	,	BEIDOU 4
36592	,	BADR-5
36596	,	SJ-12
36605	,	TANDEM-X
36608	,	OFEQ 9
36744	,	COMS 1
36745	,	ARABSAT-5A
36792	,	ECHOSTAR 15
